Initiator,Participant+Rejector,JASON time (user) in s,JADE,nmsgs,Aumento da complexidade,Aumento do tempo Jade,Relação Jade,Aumento do tempo Jade,Relação Jade
2,3,"0,876","2,5",60,,,,,
4,6,"1,056","4,144",216,"3,6","1,2","0,3","1,7","0,5"
8,12,"1,664","3,576",816,"3,8","1,6","0,4","0,9","0,2"
16,24,"2,2792","5,784",3168,"3,9","1,4","0,4","1,6","0,4"
32,48,"5,492","28,02",12480,"3,9","2,4","0,6","4,8","1,2"
50,75,"11,072","100,828",30300,"2,4","2,0","0,8","3,6","1,5"
100,75,"17,356","194,836",60600,"2,0","1,6","0,8","1,9","1,0"
200,75,"34,236","313,356",121200,"2,0","2,0","1,0","1,6","0,8"
,,,,,"3,1","1,7","0,6","2,3","0,8"
,,,,,,,,,
Initiator,Participant+Rejector,JASON memcheck (heap at exit) in bytes,JADE,nmsgs,,,,,
2,3,14550594,20490484,60,,,,,
4,6,14681292,13641864,216,,,,,
8,12,15393243,18394262,816,,,,,
16,24,14685801,18395231,3168,,,,,
32,48,14571471,,12480,,,,,
50,75,15499739,,30300,,,,,
100,75,15424187,,60600,,,,,
200,75,19890209,,121200,,,,,
